tensor([[0.9500, 0.0000, 0.0000, 0.0500, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.9000, 0.1000, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0769, 0.0000, 0.0000, 0.9231, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.1111, 0.0556, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.1000, 0.2000, 0.7000, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.2105, 0.0526, 0.7368, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000]])

tensor([[0.8706, 0.0000, 0.0000, 0.0370, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 0.9689, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.8125, 0.0303, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0414, 0.0000, 0.0000, 0.8482, 0.0000, 0.0000, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.7509, 0.0922, 0.0354, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0282, 0.1670, 0.6768, 0.0000, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.1707, 0.0210, 0.5707, 0.0000],
        [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9993]])

accuracy: 0.8804065361618996
